,Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time (LST),Year,Month,Day,Time (LST),Flag,Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Precip. Amount (mm),Precip. Amount Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather,datetime
77,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-04 05:00,2024,1,4,05:00,,-2.1,,-7.3,,68.0,,0.0,,35.0,,29.0,,,,100.27,,,,-9.0,,,2024-01-04 05:00:00
78,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-04 06:00,2024,1,4,06:00,,-3.7,,-7.5,,75.0,,0.0,,1.0,,24.0,,,,100.37,,,,-11.0,,,2024-01-04 06:00:00
79,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-04 07:00,2024,1,4,07:00,,-5.0,,-10.1,,68.0,,0.0,,35.0,,25.0,,,,100.54,,,,-12.0,,,2024-01-04 07:00:00
80,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-04 08:00,2024,1,4,08:00,,-6.8,,-11.2,,71.0,,0.0,,35.0,,27.0,,,,100.72,,,,-15.0,,,2024-01-04 08:00:00
81,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-04 09:00,2024,1,4,09:00,,-6.8,,-11.7,,68.0,,0.0,,36.0,,21.0,,,,100.86,,,,-14.0,,,2024-01-04 09:00:00
82,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-04 10:00,2024,1,4,10:00,,-6.2,,-11.8,,65.0,,0.0,,33.0,,24.0,,,,100.96,,,,-14.0,,,2024-01-04 10:00:00
83,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-04 11:00,2024,1,4,11:00,,-5.8,,-12.2,,60.0,,0.0,,33.0,,22.0,,,,101.0,,,,-13.0,,,2024-01-04 11:00:00
84,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-04 12:00,2024,1,4,12:00,,-5.2,,-13.4,,53.0,,0.0,,35.0,,13.0,,,,101.0,,,,-10.0,,,2024-01-04 12:00:00
85,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-04 13:00,2024,1,4,13:00,,-4.6,,-13.8,,49.0,,0.0,,33.0,,15.0,,,,101.02,,,,-10.0,,,2024-01-04 13:00:00
86,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-04 14:00,2024,1,4,14:00,,-4.7,,-14.2,,47.0,,0.0,,34.0,,16.0,,,,101.09,,,,-10.0,,,2024-01-04 14:00:00
87,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-04 15:00,2024,1,4,15:00,,-4.6,,-14.5,,46.0,,0.0,,32.0,,13.0,,,,101.16,,,,-10.0,,,2024-01-04 15:00:00
88,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-04 16:00,2024,1,4,16:00,,-5.1,,-14.1,,49.0,,0.0,,33.0,,11.0,,,,101.19,,,,-10.0,,,2024-01-04 16:00:00
89,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-04 17:00,2024,1,4,17:00,,-6.0,,-13.6,,55.0,,0.0,,30.0,,10.0,,,,101.27,,,,-10.0,,,2024-01-04 17:00:00
90,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-04 18:00,2024,1,4,18:00,,-7.1,,-13.9,,58.0,,0.0,,31.0,,10.0,,,,101.33,,,,-12.0,,,2024-01-04 18:00:00
91,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-04 19:00,2024,1,4,19:00,,-7.1,,-13.9,,58.0,,0.0,,31.0,,6.0,,,,101.36,,,,-10.0,,,2024-01-04 19:00:00
92,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-04 20:00,2024,1,4,20:00,,-8.2,,-13.6,,65.0,,0.0,,34.0,,4.0,,,,101.4,,,,-10.0,,,2024-01-04 20:00:00
93,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-04 21:00,2024,1,4,21:00,,-8.3,,-13.2,,68.0,,0.0,,30.0,,7.0,,,,101.42,,,,-12.0,,,2024-01-04 21:00:00
94,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-04 22:00,2024,1,4,22:00,,-8.8,,-13.1,,71.0,,0.0,,29.0,,7.0,,,,101.42,,,,-13.0,,,2024-01-04 22:00:00
95,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-04 23:00,2024,1,4,23:00,,-8.8,,-12.5,,75.0,,0.0,,28.0,,10.0,,,,101.4,,,,-14.0,,,2024-01-04 23:00:00
96,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-05 00:00,2024,1,5,00:00,,-8.2,,-12.1,,73.0,,0.0,,28.0,,11.0,,,,101.39,,,,-13.0,,,2024-01-05 00:00:00
97,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-05 01:00,2024,1,5,01:00,,-8.9,,-12.1,,77.0,,0.0,,29.0,,6.0,,,,101.35,,,,-12.0,,,2024-01-05 01:00:00
98,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-05 02:00,2024,1,5,02:00,,-8.3,,-10.8,,82.0,,0.0,,34.0,,3.0,,,,101.35,,,,-10.0,,,2024-01-05 02:00:00
99,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-05 03:00,2024,1,5,03:00,,-7.7,,-10.6,,80.0,,0.0,,4.0,,4.0,,,,101.32,,,,-10.0,,,2024-01-05 03:00:00
100,-76.6,44.22,KINGSTON CLIMATE,6104142,2024-01-05 04:00,2024,1,5,04:00,,-8.0,,-10.9,,79.0,,0.0,,3.0,,9.0,,,,101.26,,,,-13.0,,,2024-01-05 04:00:00
